Cadence (Burst),JD_UTC,av_rel_flux T1,av_rel_flux C2,av_rel_flux C3,av_rel_flux C4,av_rel_flux C5,std_T1,std_C2,std_C3,std_C4,std_C5,CoV T1,CoV C2,CoV C3,CoV C4,CoV C5
14-3,2458675.022,0.4512914,0.2338924,0.3425023,0.317376,0.458638,0.001081350101,0.001395698334,0.00386204938,0.005788820294,0.001924200146,0.23961,0.59673,1.12760,1.82396,0.41955
14-7,2458679.022,0.459808,0.235108,0.330393,0.3274585,0.459054,0.00432,0.000823,0.001755,0.0007185,0.000095,0.93952,0.35005,0.53119,0.21942,0.02069
15-3,2458681.989,0.4700678,0.2286667,0.3386282,0.3291999,0.4561539,0.001350344089,0.0007905883948,0.001053543715,0.001677481174,0.002046750862,0.28727,0.34574,0.31112,0.50956,0.44870
16-4,2458690.393,0.4603581,0.2271539,0.3399602,0.3317514,0.4536574,0.003235307696,0.0007487651768,0.001801490261,0.0008995095553,0.002752913046,0.70278,0.32963,0.52991,0.27114,0.60683
16-5,2458691.38,0.4504645,0.2289236,0.3423162,0.32607,0.4552269,0.00366535,0.0025852,0.00176644,0.00319292,0.00326003,0.81368,1.12929,0.51603,0.97921,0.71613
16-7,2458693.38,0.4380337,0.2290053,0.3411585,0.3235099,0.4595665,0.003284432921,0.00104394349,0.001624282072,0.002413975081,0.003501223136,0.74981,0.45586,0.47611,0.74618,0.76185
18-3,2458705.366,0.4474262,0.22828,0.3381699,0.3292609,0.4571729,0.001366398683,0.000867013264,0.00221267781,0.002043089741,0.002419305456,0.30539,0.37980,0.65431,0.62051,0.52919
19-4,2458711.362,0.4661068,0.2281223,0.3379059,0.3280544,0.45916,0.001743194011,0.0007461570947,0.001964597234,0.001802016049,0.002298686495,0.37399,0.32709,0.58140,0.54930,0.50063
20-1,2458723.367,0.5027481,0.2509332,0.3475551,0.2524833,0.5186814,0.02178408799,0.01786163129,0.0247030462,0.03040604113,0.05169155493,4.33300,7.11808,7.10766,12.04279,9.96596
20-2,2458723.953,0.6075846667,0.3373588889,0.4907772222,0.001749666667,0.7146977778,0.005587891632,0.002660095923,0.006136252345,0.0003623874538,0.005323528462,0.91969,0.78851,1.25031,20.71180,0.74486
20-5,2458726.953,0.4637585,0.2270696,0.338452,0.3298056,0.4578966,0.001887878876,0.001539599506,0.00319446008,0.00154224312,0.002901609422,0.40708,0.67803,0.94384,0.46762,0.63368
20-6,2458728.348,0.4675154,0.2300405,0.3409114,0.3180781,0.4650724,0.002958127793,0.001251233491,0.002570301819,0.003712268483,0.004696514371,0.63273,0.54392,0.75395,1.16709,1.00985
21-1,2458731.355,0.4704811111,0.2316954444,0.3466511111,0.3046002222,0.4729133333,0.003963822214,0.003246842333,0.007216212818,0.01035956854,0.004966650582,0.84250,1.40134,2.08169,3.40104,1.05022
21-2,2458732.345,0.4639075,0.2296426,0.344705,0.3149773,0.4649528,0.002514949831,0.001447360646,0.002914533067,0.003198051471,0.003439709895,0.54212,0.63027,0.84552,1.01533,0.73980
21-4,2458734.348,0.4858131,0.2243768,0.3418897,0.3254171,0.4655052,0.01530662277,0.01589782502,0.01674883852,0.03543957081,0.03539792259,3.15072,7.08532,4.89890,10.89051,7.60419
22-1,2458738.345,0.4447186,0.2286085,0.3420458,0.3224359,0.4603737,0.002439245096,0.0007452646845,0.001274837621,0.001772805655,0.001816019937,0.54849,0.32600,0.37271,0.54982,0.39447
24-2,2458765.327,0.4743409,0.2304086,0.3461237,0.3115356,0.4664853,0.003539723505,0.001651503327,0.003030868095,0.005118874431,0.00342228456,0.74624,0.71677,0.87566,1.64311,0.73363
24-3,2458766.324,0.4521005,0.2298275,0.3445754,0.3161345,0.4634014,0.002513467893,0.001104626747,0.002123644895,0.002817116016,0.002779443369,0.55595,0.48063,0.61631,0.89111,0.59979
24-4,2458767.331,0.4669852,0.2309989,0.3507746,0.3025078,0.4715523,0.00352955464,0.002001524541,0.001417461901,0.006576799036,0.005297605913,0.75582,0.86646,0.40409,2.17409,1.12344
24-5,2458768.328,0.4723511,0.2298988,0.3450877,0.3155401,0.4634295,0.001670046314,0.000646700518,0.002049453588,0.002691526312,0.003208711618,0.35356,0.28130,0.59389,0.85299,0.69238
24-7,2458770.317,0.4430929,0.231344,0.3448966,0.3065053,0.4729677,0.003045591058,0.001474639617,0.002647108657,0.005957745984,0.004214432466,0.68735,0.63742,0.76751,1.94377,0.89106
25-1,2458771.355,0.4556725,0.2298456,0.3493738,0.3096451,0.4657739,0.002375669474,0.001157906231,0.002084082282,0.002535978645,0.001648112523,0.52135,0.50378,0.59652,0.81900,0.35384
25-2,2458772.319,0.4486045,0.2282265,0.3467329,0.3149182,0.464618,0.002444545039,0.0009600261715,0.001108470157,0.002206451985,0.002235766133,0.54492,0.42065,0.31969,0.70064,0.48121
25-5,2458775.31,0.4646574,0.2291372,0.3446627,0.3181011,0.4618428,0.001034868707,0.001213122154,0.001444224432,0.001581238277,0.002702872798,0.22272,0.52943,0.41903,0.49709,0.58524
25-6,2458776.31,0.4687004,0.2312768,0.3466299,0.3139439,0.4616478,0.001666876012,0.0009756487893,0.001777156068,0.00393613535,0.003895224353,0.35564,0.42185,0.51270,1.25377,0.84377
26-3,2458781.313,0.4701873,0.2293899,0.3461146,0.3124544,0.4670164,0.005155096722,0.004178479591,0.005852280089,0.01103465247,0.01195143115,1.09639,1.82156,1.69085,3.53160,2.55910
26-4,2458784.442,0.4909286,0.2267342,0.3605201,0.2968667,0.4739945,0.01375559677,0.01052001512,0.01279774323,0.01653468629,0.01225331067,2.80195,4.63980,3.54980,5.56973,2.58512
